Word,Category
আমি,Pronoun
আমরা,Pronoun
আমার,Pronoun
আমাকে,Pronoun
আমাদের,Pronoun
তুমি,Pronoun
তোমরা,Pronoun
তোমার,Pronoun
তোমাকে,Pronoun
তোমাদের,Pronoun
আপনি,Pronoun
আপনারা,Pronoun
আপনার,Pronoun
আপনাকে,Pronoun
আপনাদের,Pronoun
সে,Pronoun
তিনি,Pronoun
তারা,Pronoun
তাঁরা,Pronoun
ইনি,Pronoun
উনি,Pronoun
এরা,Pronoun
ওরা,Pronoun
তার,Pronoun
তাকে,Pronoun
তাদের,Pronoun
তাঁর,Pronoun
তাঁকে,Pronoun
তাঁদের,Pronoun
এর,Pronoun
একে,Pronoun
এদের,Pronoun
ওর,Pronoun
ওকে,Pronoun
ওদের,Pronoun
এ,Demonstrative
ও,Demonstrative
সে,Demonstrative
এই,Demonstrative
ওই,Demonstrative
সেই,Demonstrative
এটা,Demonstrative
ওটা,Demonstrative
সেটা,Demonstrative
এটি,Demonstrative
ওটি,Demonstrative
সেটি,Demonstrative
এগুলো,Demonstrative
ওগুলো,Demonstrative
সেগুলো,Demonstrative
এগুলি,Demonstrative
ওগুলি,Demonstrative
সেগুলি,Demonstrative
কে,Interrogative
কি,Interrogative
কী,Interrogative
কোন,Interrogative
কোনটা,Interrogative
কারা,Interrogative
কাকে,Interrogative
কার,Interrogative
কীসের,Interrogative
কোথায়,Interrogative
কখন,Interrogative
কেন,Interrogative
কীভাবে,Interrogative
যে,Relative
যিনি,Relative
যারা,Relative
যাঁরা,Relative
যা,Relative
যেটা,Relative
যেটি,Relative
যেগুলো,Relative
কেউ,Indefinite
কিছু,Indefinite
কোথাও,Indefinite
কখনো,Indefinite
কোনো,Indefinite
কোনও,Indefinite
থেকে,Postposition
দিয়ে,Postposition
জন্য,Postposition
সাথে,Postposition
সঙ্গে,Postposition
কাছে,Postposition
উপরে,Postposition
উপর,Postposition
নিচে,Postposition
নীচে,Postposition
মধ্যে,Postposition
ভিতরে,Postposition
বাইরে,Postposition
পরে,Postposition
আগে,Postposition
সামনে,Postposition
পিছনে,Postposition
পাশে,Postposition
দ্বারা,Postposition
বিনা,Postposition
ব্যতীত,Postposition
সহ,Postposition
প্রতি,Postposition
অবধি,Postposition
পর্যন্ত,Postposition
বরাবর,Postposition
মতো,Postposition
মত,Postposition
এবং,Conjunction
ও,Conjunction
আর,Conjunction
কিন্তু,Conjunction
তবে,Conjunction
তবু,Conjunction
তথাপি,Conjunction
যদিও,Conjunction
যদি,Conjunction
তাহলে,Conjunction
তাই,Conjunction
কারণ,Conjunction
যেহেতু,Conjunction
অথবা,Conjunction
বা,Conjunction
কিংবা,Conjunction
নতুবা,Conjunction
অতএব,Conjunction
সুতরাং,Conjunction
ফলে,Conjunction
অর্থাৎ,Conjunction
যথা,Conjunction
যেমন,Conjunction
না,Particle
নি,Particle
নেই,Particle
হ্যাঁ,Particle
জি,Particle
তো,Particle
ই,Particle
মাত্র,Particle
শুধু,Particle
শুধুই,Particle
শুধুমাত্র,Particle
কেবল,Particle
কেবলমাত্র,Particle
প্রায়,Particle
