word,total_frequency
দুর্ঘটনা,22215
দুর্নীতি,17499
শিশুদের,9087
প্রতিরক্ষা,8767
প্রতিশ্রুতি,7908
প্রতিপক্ষ,6458
পাহাড়ের,4390
দুর্ভোগ,3378
কাগজপত্র,3059
বাবাকে,3021
কাঠের,2527
দুর্ভাগ্য,2424
দুশ্চিন্তা,2027
প্রতিফলন,1904
প্রতিশোধ,1859
মানুষজন,1548
মাংসের,1383
ঘরবাড়ি,1345
প্রজাপতি,1298
প্রতিহিংসা,1244
দুর্গন্ধ,1213
চিতাবাঘ,1020
গাছপালা,1000
দুর্দশা,984
উদ্ভিদের,921
দুঃসাহস,889
খাদ্যশস্য,765
দুর্ব্যবহার,744
হৃদয়ের,707
হাড়ের,673
পুরুষকে,594
দুঃস্বপ্ন,592
প্রতিপালন,562
কৃষিজমি,525
প্রতিদান,521
দুরবস্থা,521
শিলাবৃষ্টি,472
কাঁধের,422
দুঃসংবাদ,398
পশুপাখি,368
প্রতিশব্দ,356
প্রতিধ্বনি,325
লবণের,318
মাছরাঙা,316
দুশমন,277
পুতুলের,276
দুঃশাসন,251
ঘড়িতে,243
প্রতিরূপ,236
কচ্ছপের,232
কাকের,215
আয়নায়,203
জলকামান,194
বইগুলি,194
দুর্গতি,179
বাঁশির,170
মটরশুঁটি,168
দুর্নাম,153
গোড়ালির,152
লাঠিসোঁটা,151
প্রতিঘাত,149
সাবানের,133
প্রতিসরণ,123
ঝুড়িতে,110
দুর্ভাবনা,105
ঝিনুকের,104
বুদ্ধমূর্তি,103
দরজাটা,95
বাছুরের,91
উটপাখি,87
মাখনের,85
প্রতিবিধান,79
ঝর্ণাধারা,77
মুকুটের,73
দারুচিনির,55
পেরেকটি,54
মৌচাকের,52
প্রতিভাস,49
বোতামের,47
দুরাশা,40
কলিজার,36
থুতনির,33
থালাবাসন,30
প্রতিপ্রভা,29
খুরের,24
বড়িগুলো,16
প্রতিরুপ,16
পতাকাগুলি,13
প্রতিকল্প,10
গঙ্গাফড়িং,9
কোলবালিশ,9
শুঁয়াপোকা,7
কলাগুলো,6
ষাঁড়গুলো,5
কাঁথাগুলো,5
শালগুলো,5
প্রতিবাস্তব,5
প্রতিসর্গ,4
শূকরছানা,4
তীরগুলো,4
হাতুড়িটা,3
পিঁপড়াটা,3
প্রতিবর্তন,3
দুর্মতি,3
চড়ুইদের,3
দুর্বুদ্ধি,3
দুর্দৈব,3
তিমিগুলি,2
মাকড়সাটা,2
প্রতিবন্ধন,2
খরগোশগুলো,2
হাঙ্গরগুলো,2
প্রতিগভীর,2
প্রতিক্রম,2
দুষ্কার্য,2
প্রতিবোধ,2
প্রতিভূতি,1
কনুইটি,1
দুর্লতা,1
দুর্বৃত্তি,1
প্রতিগ্রহণ,1
প্রতিপণ,1
প্রতিপ্রশ্ন,1
আখরোটগুলো,1
