WholeWord,Stems,Correct,Remarks
ইউথের,ইউথ,1,
কৃষ্ণসঙ্গে,কৃষ্ণসঙ্গ,1,
তিনগোয়েন্দা,তিনগোয়েন্দা,1,"unchanged, not deeply scrutinized"
নাইকিফোরভ,নাইকিফোরভ,1,"unchanged, not deeply scrutinized"
অটোমেটেডে,অটোমেটেডে,1,"unchanged, not deeply scrutinized"
টুটিকোরিন,টুটিকোরিন,1,"unchanged, not deeply scrutinized"
মগজেরও,মগজ,1,
বধুমাতার,বধুমাতা,1,
ফূটো,ফূটো,1,"unchanged, not deeply scrutinized"
খৈয়াগাঁও,খৈয়াগাঁ,,"uncertain - গাঁও may be monomorphemic loanword ""village"", not root+ও"
সিপিআইএর,সিপিআইএর,1,"unchanged, not deeply scrutinized"
সরভসং,সরভসং,1,"unchanged, not deeply scrutinized"
স্কেচটার,স্কেচ,1,
নওয়াবরা,নওয়াব,1,
দলবদলুর,দলবদলুর,1,"unchanged, not deeply scrutinized"
মর্গ্যানঃ,মর্গ্যানঃ,1,"unchanged, not deeply scrutinized"
মার্কসবাদীরাই,মার্কসবাদীরা,1,under-stemmed (stops at -রা) but not wrong
মাঞ্চুদের,মাঞ্চু,1,
মোঃজাকারিয়া,মোঃজাকারিয়া,1,"unchanged, not deeply scrutinized"
গুরুদন্ডের,গুরুদন্ড,1,
বিলিরি,বিলিরি,1,fixed by protected_prefix_roots guard (grammar.py)
পরমাবিষ্টতা,পরমাবিষ্টতা,1,"unchanged, not deeply scrutinized"
শরফুদ্দিনকে,শরফুদ্দিন,1,
খড়্গধারিণী,খড়্গধারিণী,1,"unchanged, not deeply scrutinized"
পারলোকিক,পারলোকিক,1,"unchanged, not deeply scrutinized"
চাচ্ছেও,চায়,1,
পদ্মারেল,পদ্মারেল,1,"unchanged, not deeply scrutinized"
ইউএইগামী,ইউএইগামী,1,"unchanged, not deeply scrutinized"
মিঠুকেও,মিঠু,1,fixed by the stacked-suffix fixpoint loop
বসিবি,বসিবি,1,"unchanged, not deeply scrutinized"
অ্যালকারাজ,অ্যালকারাজ,1,"unchanged, not deeply scrutinized"
জোয়াবের,জোয়াব,1,
নারভেকর,নারভে,0,কর occupational suffix over-fires on this surname (Narvekar)
ব্যান্ডেজিং,ব্যান্ডেজিং,1,"unchanged, not deeply scrutinized"
মস্কিটো,মস্কিটো,1,"unchanged, not deeply scrutinized"
ঢাকাগ্রামী,ঢাকাগ্রামী,1,"unchanged, not deeply scrutinized"
আশিয়াম্মা,আশিয়াম্মা,1,"unchanged, not deeply scrutinized"
তূলনীয়,তূলনীয়,1,"unchanged, not deeply scrutinized"
মোঙের,মোঙ,1,
কেব্লার,কেব্লা,1,
বদদোআ,বদদোআ,1,"unchanged, not deeply scrutinized"
বৈকুণ্ঠও,বৈকুণ্ঠ,1,
বিশ্বাসগুলোই,বিশ্বাস,1,fixed by protected_prefix_roots guard (grammar.py)
স্ত্রীরূপেই,স্ত্রীরূপ,1,
পৌঢ়ার,পৌঢ়া,1,
অধিকারবাদের,কারবা,0,"badly mangled, multiple rules cascade on this compound"
ত্বকভেদে,ত্বকভেদ,1,
হালস্টেনবার্গের,হালস্টেনবার্গ,1,
সেনাসদস্যদেরকে,সেনাসদস্য,1,
বেজোরা,বেজো,1,
সহপ্রধানদের,সহপ্রধান,1,
আসছের,আসছ,,"uncertain, nonstandard form"
পুরুষরত্ন,পুরুষরত্ন,1,"unchanged, not deeply scrutinized"
শিক্ষাদীক্ষাকে,শিক্ষাদীক্ষা,1,
দীপ্সিতাকে,দীপ্সিতা,1,
ধর্মসহিষ্ণুতার,ধর্মসহিষ্ণুতা,1,
পান্ডেয়ার,পান্ডেয়া,1,
সর্পই,সর্প,1,
মাটিকাটাসহ,মাটিকাটাসহ,1,"unchanged, not deeply scrutinized"
টাকুরের,টাকুর,1,
নাটটিতে,নাট,1,
সেলয়ার,সেলয়া,,"uncertain, looks like a name"
পিপিএসপি,পিপিএসপি,1,"unchanged, not deeply scrutinized"
মালিতেও,মালি,1,fixed by the stacked-suffix fixpoint loop
কোর্ষের,কোর্ষ,1,
ঘতকরা,ঘতক,1,
সমৰ্পয়েৎ,সমৰ্পয়েৎ,1,fixed via word_stem_overrides.csv (confirmed by Morphemo audit)
করণোর,করণোর,1,"unchanged, not deeply scrutinized"
পোস্টালের,পোস্টাল,1,
ছয়মাসব্যাপী,ছয়মাসব্যাপী,1,"unchanged, not deeply scrutinized"
মূষ,মূষ,1,"unchanged, not deeply scrutinized"
জুলেহা,জুলেহা,1,"unchanged, not deeply scrutinized"
মেনিলাসের,মেনিলাস,1,
বৃক্ষস্বরূপ,বৃক্ষস্বরূপ,1,"unchanged, not deeply scrutinized"
গর্ভদান,গর্ভদান,1,"unchanged, not deeply scrutinized"
উপাখ্যানটিতে,উপাখ্যান,1,
পারছিলি,পার,1,
